player_name,team,year,league,Base on Balls,Batting Average,Doubles,Hits,Home Runs,On Base Percentage,RBI,Runs,Slugging Average,Stolen Bases,Total Bases,Triples
Aaron Judge,New York,2024,American League,133,,,,58,.458,144,,.701,,392,
Aaron Judge,New York Yankees,2022,American League,111,,,,62,.425,131,133,.686,,391,
Adalberto Mondesi,Kansas City Royals,2020,American League,,,,,,,,,,24,,
Adam Duvall,Miami Marlins,2021,National League,,,,,,,113,,,,,
Amed Rosario,Cleveland Guardians,2022,American League,,,,,,,,,,,,9
Austin Riley,Atlanta Braves,2022,National League,,,,,,,,,,,325,
Bo Bichette,Toronto Blue Jays,2021,American League,,,,191,,,,,,,,
Bo Bichette,Toronto Blue Jays,2022,American League,,,,189,,,,,,,,
Bobby Witt Jr.,Kansas City,2024,American League,,.332,,211,,,,,,,,
Bobby Witt Jr.,Kansas City Royals,2023,American League,,,,,,,,,,,,11
Bryce Harper,Philadelphia Phillies,2020,National League,49,,,,,,,,,,,
Bryce Harper,Philadelphia Phillies,2021,National League,,,42,,,,,,.615,,,
Carlos Santana,Cleveland Indians,2020,American League,47,,,,,,,,,,,
Cesar Hernandez,Cleveland Indians,2020,American League,,,20,,,,,,,,,
Corbin Carroll,Arizona,2024,National League,,,,,,,,,,,,14
Corbin Carroll,Arizona Diamondbacks,2023,National League,,,,,,,,,,,,10
Corey Seager,Texas Rangers,2023,American League,,,42,,,,,,,,,
DJ LeMahieu,New York Yankees,2020,American League,,.364,,,,.421,,,,,,
David Peralta,Arizona Diamondbacks,2021,National League,,,,,,,,,,,,8
Elly De La Cruz,Cincinnati,2024,National League,,,,,,,,,,67,,
Esteury Ruiz,Oakland Athletics,2023,American League,,,,,,,,,,67,,
Ezequiel Tovar,Colorado,2024,National League,,,45,,,,,,,,,
Fernando Tatis Jr.,San Diego Padres,2021,National League,,,,,42,,,,,,,
Freddie Freeman,Atlanta Braves,2020,National League,,,23,,,,,51,,,,
Freddie Freeman,Atlanta Braves,2021,National League,,,,,,,,120,,,,
Freddie Freeman,Los Angeles Dodgers,2022,National League,,,44,11,,.407,,,,,,
Freddie Freeman,Los Angeles Dodgers,2023,National League,,,59,,,,,,,,,
Gavin Lux,Los Angeles Dodgers,2022,National League,,,,,,,,,,,,7
J.P. Crawford,Seattle Mariners,2023,American League,94,,,,,,,,,,,
Jarren Duran,Boston,2024,American League,,,48,,,,,,,,,14
Jeff McNeil,New York Mets,2022,National League,,.326,,,,,,,,,,
Jeimer Candelario,Detroit Tigers,2021,American League,,,42,,,,,,,,,
Joey Gallo,Texas Rangers,2021,American League,111,,,,,,,,,,,
Jon Berti,Miami Marlins,2022,National League,,,,,,,,,,41,,
Jorge Mateo,Baltimore Orioles,2022,American League,,,,,,,,,,35,,
Jose Abreu,Chicago White Sox,2020,American League,,,,76,,,60,,.617,,148,
Jose Caballero,Tampa Bay,2024,American League,,,,,,,,,,44,,
José Ramírez,Cleveland Guardians,2022,American League,,,44,,,,,,,,,
Juan Soto,New York,2024,American League,,,,,,,,128,,,,
Juan Soto,San Diego Padres,2023,National League,132,,,,,,,,,,,
Juan Soto,Washington Nationals,2020,National League,,.351,,,,.490,,,.695,,,
Juan Soto,Washington Nationals,2021,National League,145,,,,,.465,,,,,,
Juan Soto,Washington Nationals,2022,National League,135,,,,,,,,,,,
Kyle Schwarber,Philadelphia,2024,National League,105,,,,,,,,,,,
Kyle Schwarber,Philadelphia Phillies,2022,National League,,,,,46,,,,,,,
Kyle Tucker,Houston Astros,2020,American League,,,,,,,,,,,,6
Kyle Tucker,Houston Astros,2023,American League,,,,,,,112,,,,,
Luis Arraez,Miami,2024,National League,,.314,,200,,,,,,,,
Luis Arraez,Miami Marlins,2023,National League,,.354,,,,,,,,,,
Luis Arraez,Minnesota Twins,2022,American League,,.316,,,,,,,,,,
Luke Voit,New York Yankees,2020,American League,,,,,22,,,,,,,
Marcell Ozuna,Atlanta Braves,2020,National League,,,,,18,,56,,,,145,
Marcus Semien,Texas Rangers,2023,American League,,,,185,,,,122,,,,
Matt Olson,Atlanta Braves,2023,National League,,,,,54,,139,,.604,,,
Mookie Betts,Los Angeles Dodgers,2022,National League,,,,,,,,117,,,,
Paul Goldschmidt,St. Louis Cardinals,2022,National League,,,,,,,,,.578,,,
Pete Alonso,New York Mets,2022,National League,,,,,,,131,,,,,
Ronald Acuña Jr.,Atlanta Braves,2023,National League,,,,217,,.416,,149,,73,383,
Salvador Perez,Kansas City Royals,2021,American League,,,,,,,121,,,,,
Shohei Ohtani,Los Angeles,2024,National League,,,,,54,.390,130,134,.646,,411,
Shohei Ohtani,Los Angeles Angels,2021,American League,,,,,,,,,,,,8
Shohei Ohtani,Los Angeles Angels,2023,American League,,,,,44,.412,,,.654,,325,
Tim Anderson,Chicago White Sox,2020,American League,,,,,,,,45,,,,
Trea Turner,Washington Nationals,2020,National League,,,,78,,,,,,,,
Trea Turner,Washington Nationals,2021,National League,,.328,,195,,,,,,32,319,
Trevor Story,Colorado Rockies,2020,National League,,,,,,,,,,15,,4
Vladimir Guerrero Jr.,Toronto Blue Jays,2021,American League,,,,,48,.401,,123,.601,,363,
Whit Merrifield,Kansas City Royals,2021,American League,,,,,,,,,,40,,
Yandy Díaz,Tampa Bay Rays,2023,American League,,.330,,,,,,,,,,
Yuli Gurriel,Houston Astros,2021,American League,,.319,,,,,,,,,,
