id,year,league,division,team,wins,losses,winning_percentage,games_back
37,2024,American League,Central,Detroit Tigers,86,76,0.5308641975308642,.531
35,2024,American League,East,Boston Red Sox,81,81,0.5,.500
36,2024,American League,East,Tampa Bay Rays,80,82,0.49382716049382713,.494
38,2024,American League,West,Houston Astros,88,73,0.546583850931677,.547
39,2024,American League,West,Texas Rangers,78,84,0.48148148148148145,.481
40,2024,National League,Central,Chicago Cubs,83,79,0.5123456790123457,.512
41,2024,National League,Central,Cincinnati Reds,77,85,0.47530864197530864,.475
42,2024,National League,Central,Pittsburgh Pirates,76,86,0.4691358024691358,.469
43,2024,National League,West,San Diego Padres,93,69,0.5740740740740741,.574
44,2024,National League,West,Arizona Diamondbacks,89,73,0.5493827160493827,.549
45,2024,National League,West,San Francisco Giants,80,82,0.49382716049382713,.494
26,2023,American League,Central,Detroit Tigers,78,84,0.48148148148148145,.481
24,2023,American League,East,Tampa Bay Rays,99,63,0.6111111111111112,.611
25,2023,American League,East,Boston Red Sox,78,84,0.48148148148148145,.481
28,2023,American League,West,Texas Rangers,90,72,0.5555555555555556,.556
27,2023,American League,West,Houston Astros,90,72,0.5555555555555556,.556
29,2023,National League,Central,Chicago Cubs,83,79,0.5123456790123457,.512
30,2023,National League,Central,Cincinnati Reds,82,80,0.5061728395061729,.506
31,2023,National League,Central,Pittsburgh Pirates,76,86,0.4691358024691358,.469
32,2023,National League,West,Arizona Diamondbacks,84,78,0.5185185185185185,.519
33,2023,National League,West,San Diego Padres,82,80,0.5061728395061729,.506
34,2023,National League,West,San Francisco Giants,79,83,0.4876543209876543,.488
15,2022,American League,Central,Detroit Tigers,66,96,0.4074074074074074,.407
13,2022,American League,East,Tampa Bay Rays,86,76,0.5308641975308642,.531
14,2022,American League,East,Boston Red Sox,78,84,0.48148148148148145,.481
16,2022,American League,West,Houston Astros,106,56,0.654320987654321,.654
17,2022,American League,West,Texas Rangers,68,94,0.41975308641975306,.420
18,2022,National League,Central,Chicago Cubs,74,88,0.4567901234567901,.457
20,2022,National League,Central,Pittsburgh Pirates,62,100,0.38271604938271603,.383
19,2022,National League,Central,Cincinnati Reds,62,100,0.38271604938271603,.383
21,2022,National League,West,San Diego Padres,89,73,0.5493827160493827,.549
22,2022,National League,West,San Francisco Giants,81,81,0.5,.500
23,2022,National League,West,Arizona Diamondbacks,74,88,0.4567901234567901,.457
4,2021,American League,Central,Detroit Tigers,77,85,0.47530864197530864,.475
2,2021,American League,East,Tampa Bay Rays,100,62,0.6172839506172839,.617
3,2021,American League,East,Boston Red Sox,92,70,0.5679012345679012,.568
5,2021,American League,West,Houston Astros,95,67,0.5864197530864198,.586
6,2021,American League,West,Texas Rangers,60,102,0.37037037037037035,.370
7,2021,National League,Central,Cincinnati Reds,83,79,0.5123456790123457,.512
8,2021,National League,Central,Chicago Cubs,71,91,0.4382716049382716,.438
9,2021,National League,Central,Pittsburgh Pirates,61,101,0.3765432098765432,.377
10,2021,National League,West,San Francisco Giants,107,55,0.6604938271604939,.660
11,2021,National League,West,San Diego Padres,79,83,0.4876543209876543,.488
12,2021,National League,West,Arizona Diamondbacks,52,110,0.32098765432098764,.321
1,2020,American League,East,Tampa Bay Rays,40,20,0.6666666666666666,.667
