name,url,team,team_url,year,league,statistic,value,stat_type,rank
Matt Carpenter,https://www.baseball-almanac.com/players/player.php?p=carpema01,St. Louis,,2014,National League,Base on Balls,95,player,1
Justin Morneau,https://www.baseball-almanac.com/players/player.php?p=morneju01,Colorado,,2014,National League,Batting Average,.319,player,1
Jonathan Lucroy,https://www.baseball-almanac.com/players/player.php?p=lucrojo01,Milwaukee,,2014,National League,Doubles,53,player,1
Ben Revere,https://www.baseball-almanac.com/players/player.php?p=reverbe01,Philadelphia,,2014,National League,Hits,184,player,1
Denard Span,https://www.baseball-almanac.com/players/player.php?p=spande01,Washington,,2014,National League,Hits,184,player,1
Giancarlo Stanton,https://www.baseball-almanac.com/players/player.php?p=stantmi03,Miami,,2014,National League,Home Runs,37,player,1
Andrew McCutchen,https://www.baseball-almanac.com/players/player.php?p=mccutan01,Pittsburgh,,2014,National League,On Base Percentage,.410,player,1
Adrian Gonzalez,https://www.baseball-almanac.com/players/player.php?p=gonzaad01,Los Angeles,,2014,National League,RBI,116,player,1
Anthony Rendon,https://www.baseball-almanac.com/players/player.php?p=rendoan01,Washington,,2014,National League,Runs,111,player,1
Giancarlo Stanton,https://www.baseball-almanac.com/players/player.php?p=stantmi03,Miami,,2014,National League,Slugging Average,.555,player,1
Dee Strange-Gordon,https://www.baseball-almanac.com/players/player.php?p=gordode01,Los Angeles,,2014,National League,Stolen Bases,64,player,1
Giancarlo Stanton,https://www.baseball-almanac.com/players/player.php?p=stantmi03,Miami,,2014,National League,Total Bases,299,player,1
Dee Strange-Gordon,https://www.baseball-almanac.com/players/player.php?p=gordode01,Los Angeles,,2014,National League,Triples,12,player,1
Clayton Kershaw,https://www.baseball-almanac.com/players/player.php?p=kershcl01,Los Angeles,,2014,National League,Complete Games,6,pitcher,1
Clayton Kershaw,https://www.baseball-almanac.com/players/player.php?p=kershcl01,Los Angeles,,2014,National League,ERA,1.77,pitcher,1
Will Smith,https://www.baseball-almanac.com/players/player.php?p=smithwi04,Milwaukee,,2014,National League,Games,78,pitcher,1
Tony Watson,https://www.baseball-almanac.com/players/player.php?p=watsoto01,Pittsburgh,,2014,National League,Games,78,pitcher,1
Craig Kimbrel,https://www.baseball-almanac.com/players/player.php?p=kimbrcr01,Atlanta,,2014,National League,Saves,47,pitcher,1
Henderson Alvarez,https://www.baseball-almanac.com/players/player.php?p=alvarhe01,Miami,,2014,National League,Shutouts,4,pitcher,1
Johnny Cueto,https://www.baseball-almanac.com/players/player.php?p=cuetojo01,Cincinnati,,2014,National League,Strikeouts,242,pitcher,1
Stephen Strasburg,https://www.baseball-almanac.com/players/player.php?p=strasst01,Washington,,2014,National League,Strikeouts,242,pitcher,1
Clayton Kershaw,https://www.baseball-almanac.com/players/player.php?p=kershcl01,Los Angeles,,2014,National League,Winning Percentage,.875,pitcher,1
Clayton Kershaw,https://www.baseball-almanac.com/players/player.php?p=kershcl01,Los Angeles,,2014,National League,Wins,21,pitcher,1
